2026-05-24 17:38:53,993 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,013 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,031 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,054 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,077 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,096 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,116 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,133 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,156 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,172 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,193 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,211 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,220 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.45
2026-05-24 17:38:54,241 | INFO | src.analysis | Solving LP dispatch: hours=24, variables=192, fuel_cost=0.45
2026-05-24 17:38:55,811 | INFO | src.plotting | Saved plots: ['outputs\\plots\\fuel_0_45\\soc_year.png', 'outputs\\plots\\fuel_0_45\\power_profiles_first_week.png', 'outputs\\plots\\fuel_0_45\\daily_net_cost.png']
2026-05-24 17:38:55,818 | INFO | __main__ | Scenario 0.450 saved to outputs\dispatch_fuel_0_45.csv
2026-05-24 17:38:55,818 | INFO | src.analysis | Solving LP dispatch: hours=168, variables=1344, fuel_cost=0.6
