scenario,hours,total_load_kwh,total_renewable_kwh,total_import_kwh,total_export_kwh,total_generator_kwh,total_curtailment_kwh,total_pev_charge_grid_side_kwh,total_pev_delivered_kwh,net_cost_eur,soc_min_pct,soc_max_pct,soc_final_pct,asset_config
fuel_0.45_eur_kwh,8760,611229.7811220792,60808.959420798055,88147.33992877314,77902.84687716085,554436.0280499205,0.0,12166.666666666666,10950.0,247629.4450805927,0.1,0.9,0.1,"{'pv_nom_kw': 40.0, 'wind_nom_kw': 60.0, 'office_nom_kw': 180.0, 'battery_power_kw': 130.0, 'battery_capacity_kwh': 130.0, 'battery_eta_charge': 0.95, 'battery_eta_discharge': 0.95, 'soc_min': 0.1, 'soc_max': 0.9, 'soc_initial': 0.5, 'pev_power_kw': 10.0, 'pev_eta': 0.9, 'pev_daily_energy_kwh': 30.0, 'generator_power_max_kw': 70.0, 'generator_power_min_kw': 20.0, 'generator_eta': 0.6, 'grid_import_max_kw': 200.0, 'grid_export_max_kw': 100.0, 'timestep_hours': 1.0}"
fuel_0.60_eur_kwh,8760,611229.7811220792,60808.959420798055,640898.6537252284,75590.74430464907,0.0,0.0,12166.666666666666,10950.0,276196.00581039744,0.1,0.9,0.1,"{'pv_nom_kw': 40.0, 'wind_nom_kw': 60.0, 'office_nom_kw': 180.0, 'battery_power_kw': 130.0, 'battery_capacity_kwh': 130.0, 'battery_eta_charge': 0.95, 'battery_eta_discharge': 0.95, 'soc_min': 0.1, 'soc_max': 0.9, 'soc_initial': 0.5, 'pev_power_kw': 10.0, 'pev_eta': 0.9, 'pev_daily_energy_kwh': 30.0, 'generator_power_max_kw': 70.0, 'generator_power_min_kw': 20.0, 'generator_eta': 0.6, 'grid_import_max_kw': 200.0, 'grid_export_max_kw': 100.0, 'timestep_hours': 1.0}"
