timestamp,office_load_kwh,pv_kw,wind_kw,renewable_kw,export_price_eur_kwh,import_price_eur_kwh,temperature_c,irradiance
2022-01-01 00:00:00,66.60647372786357,0.0,1.301697972839204,1.301697972839204,0.17028000000000001,0.46868,11.739165861784254,0.0
2022-01-01 01:00:00,67.16783874151238,0.0,4.180356431058842,4.180356431058842,0.15572,0.46868,12.294596822354677,0.0
2022-01-01 02:00:00,53.27173632587012,0.0,0.9597837543251413,0.9597837543251413,0.14709,0.46868,11.745484364039392,0.0
2022-01-01 03:00:00,68.83151712278038,0.0,1.0359026655564612,1.0359026655564612,0.091,0.46868,11.019554378751488,0.0
2022-01-01 04:00:00,63.54718492450819,0.0,0.0,0.0,0.104,0.46868,10.391654301291414,0.0
2022-01-01 05:00:00,53.01880809998819,0.0,0.9304351332464001,0.9304351332464001,0.1406,0.46868,10.357827921887557,0.0
2022-01-01 06:00:00,57.64596437734097,0.0,3.47077406505488,3.47077406505488,0.14709,0.46868,10.065056066064306,0.0
2022-01-01 07:00:00,66.37363038409968,0.0,0.0,0.0,0.09999,0.46868,9.17186680206984,0.0
2022-01-01 08:00:00,75.84613670868595,5.100377595381577,1.601821051058693,6.702198646440269,0.06799,0.46868,9.170294126420359,0.08036287240823936
2022-01-01 09:00:00,73.64177070398553,7.17585985718922,0.0,7.17585985718922,0.095,0.46868,7.8238233024992585,0.14292341978315395
2022-01-01 10:00:00,55.396261633550964,5.263991003654082,0.0,5.263991003654082,0.1358,0.46868,8.58401307587854,0.19453771665355177
2022-01-01 11:00:00,73.08385563521232,13.280237764370783,0.0,13.280237764370783,0.1507,0.46868,11.514512192260487,0.22353171086348653
2022-01-01 12:00:00,71.9753389648589,10.772610349577384,0.0,10.772610349577384,0.15572,0.46868,12.611019107116492,0.2564636584542322
2022-01-01 13:00:00,60.271512974456826,9.546817373648922,0.0,9.546817373648922,0.14709,0.46868,13.711224180431877,0.2749022727701458
2022-01-01 14:00:00,63.209609377776005,7.904671350363127,0.0,7.904671350363127,0.1,0.46868,14.909718840488216,0.24719040571977244
2022-01-01 15:00:00,47.60572677254431,3.9533323034929175,0.0,3.9533323034929175,0.155,0.46868,13.817491598696883,0.15858693509840524
2022-01-01 16:00:00,58.1592256525255,0.561317609880918,0.0,0.561317609880918,0.16978000000000001,0.46868,12.391757307012702,0.027188819864904776
2022-01-01 17:00:00,73.24671050378134,0.0,0.19259259734796538,0.19259259734796538,0.2031,0.46868,10.80952760022287,0.0
2022-01-01 18:00:00,70.94414659119109,0.0,1.3862146086349123,1.3862146086349123,0.20583,0.46868,10.313764372217458,0.0
2022-01-01 19:00:00,75.46584852785806,0.0,0.8840870852013748,0.8840870852013748,0.21466,0.46868,9.490814766558467,0.0
2022-01-01 20:00:00,67.20681398313174,0.0,1.166672930512957,1.166672930512957,0.21466,0.46868,9.173272472478285,0.0
2022-01-01 21:00:00,53.2102335714838,0.0,0.25555556186556944,0.25555556186556944,0.203,0.46868,9.129355683791765,0.0
2022-01-01 22:00:00,69.98258611737555,0.0,0.15925926319158684,0.15925926319158684,0.18,0.46868,8.557781522094341,0.0
2022-01-01 23:00:00,71.595864955151,0.0,0.1407407442158208,0.1407407442158208,0.16244,0.46868,8.746423755543152,0.0
2022-01-02 00:00:00,66.82670309715547,0.0,0.296295933241875,0.296295933241875,0.15112983,0.46868,8.507375386784815,0.0
2022-01-02 01:00:00,68.15480261156667,0.0,0.3970251845813741,0.3970251845813741,0.14285,0.46868,8.539957402751092,0.0
2022-01-02 02:00:00,68.11464936249833,0.0,1.061766133779385,1.061766133779385,0.1406,0.46868,8.272261750468427,0.0
2022-01-02 03:00:00,61.01254039068336,0.0,2.771736443808537,2.771736443808537,0.1,0.46868,8.329737048506916,0.0
2022-01-02 04:00:00,67.78955780355113,0.0,3.0338546546312983,3.0338546546312983,0.1406,0.46868,8.217500372636227,0.0
2022-01-02 05:00:00,57.347733756231236,0.0,9.846352630782755,9.846352630782755,0.14193,0.46868,8.495367868460228,0.0
2022-01-02 06:00:00,67.37292176039217,0.0,26.91272307462458,26.91272307462458,0.14709,0.46868,8.559873996545521,0.0
2022-01-02 07:00:00,56.240656927548415,0.0,38.654838535757946,38.654838535757946,0.1537821,0.46868,8.639406456402908,0.0
2022-01-02 08:00:00,64.0824596992178,0.0,52.729583690815694,52.729583690815694,0.15259,0.46868,8.648862563032495,0.09731322799450509
2022-01-02 09:00:00,60.05542781262308,4.819056451104765,52.15706159693724,56.976118048042004,0.15572,0.46868,9.249386761023596,0.061249205350573724
2022-01-02 10:00:00,57.29463562471695,6.883525672272793,49.272285861827726,56.15581153410052,0.16798,0.46868,9.182550630994893,0.1016800671345703
2022-01-02 11:00:00,70.89715656654585,15.31199967725433,48.48665693621794,63.79865661347227,0.17508,0.46868,9.169649491397973,0.15542494911390464
2022-01-02 12:00:00,67.56857245951633,15.865620146228869,51.48435191193712,67.34997205816599,0.18958000000000003,0.46868,10.109061854809191,0.16313889371804094
2022-01-02 13:00:00,61.35798960121721,13.444384301858399,51.03658931872795,64.48097362058635,0.16969,0.46868,10.51189237073225,0.14971378557220422
2022-01-02 14:00:00,67.9724409767671,12.948422379359613,53.156060232719405,66.10448261207901,0.15572,0.46868,11.327581021411751,0.1080404898243129
2022-01-02 15:00:00,47.136921610058174,4.440401028173474,49.743018150031716,54.18341917820519,0.16775,0.46868,11.02607865287052,0.061898684790354645
2022-01-02 16:00:00,63.958887193127964,1.0732449334520717,45.72334262960051,46.79658756305258,0.19421000000000002,0.46868,10.487420026381708,0.016275024474331656
2022-01-02 17:00:00,68.10716914186017,0.0,46.49135835602392,46.49135835602392,0.245,0.46868,10.47569381731348,0.0
2022-01-02 18:00:00,73.93833576298005,0.0,49.76541243587144,49.76541243587144,0.22519,0.46868,10.050505836882822,0.0
2022-01-02 19:00:00,74.11199802274126,0.0,51.605598961102864,51.605598961102864,0.21628999999999998,0.46868,10.087774150531706,0.0
2022-01-02 20:00:00,58.33345209108758,0.0,49.2723764338772,49.2723764338772,0.20267367,0.46868,10.444580061195582,0.0
2022-01-02 21:00:00,62.20728791576462,0.0,43.584875180009064,43.584875180009064,0.17840999999999999,0.46868,9.830410658382883,0.0
2022-01-02 22:00:00,61.827724014217985,0.0,45.806620147886065,45.806620147886065,0.15444,0.46868,9.904828768098556,0.0
2022-01-02 23:00:00,65.42226020222529,0.0,47.93036894128033,47.93036894128033,0.14479,0.46868,10.14559754172771,0.0
2022-01-03 00:00:00,66.76729661716145,0.0,42.64184806451559,42.64184806451559,0.127,0.46868,9.784577513456767,0.0
2022-01-03 01:00:00,68.26173363964722,0.0,37.05380155014704,37.05380155014704,0.127,0.46868,9.259469783440831,0.0
2022-01-03 02:00:00,58.10050153997157,0.0,28.787123504335582,28.787123504335582,0.08462,0.46868,9.363252646508528,0.0
2022-01-03 03:00:00,66.4260535370735,0.0,18.589845244784748,18.589845244784748,0.08327,0.46868,8.960667738946317,0.0
2022-01-03 04:00:00,66.60596007947682,0.0,10.813075792071366,10.813075792071366,0.085,0.46868,8.577165830923914,0.0
