timestamp,office_load_kwh,pv_kw,wind_kw,renewable_kw,export_price_eur_kwh,import_price_eur_kwh,temperature_c,irradiance,p_import_kw,p_export_kw,p_gen_kw,p_charge_kw,p_discharge_kw,p_curtail_kw,p_pev_kw,soc_kwh,soc_pct,net_cost_eur,fuel_cost_eur_kwh
2022-01-01 00:00:00,66.60647372786357,0.0,0.0,0.0,0.17028000000000001,0.46868,11.739165861784254,0.0,0.0,0.0,70.0,0.0,0.0,0.0,3.3935262721364268,65.0,0.5,31.5,0.45
2022-01-01 01:00:00,67.16783874151238,0.0,0.0,0.0,0.15572,0.46868,12.294596822354675,0.0,0.0,0.0,67.16783874151238,0.0,0.0,0.0,0.0,65.0,0.5,30.225527433680572,0.45
2022-01-01 02:00:00,53.27173632587012,0.0,0.0,0.0,0.14709,0.46868,11.745484364039392,0.0,0.0,0.0,53.27173632587012,0.0,0.0,0.0,0.0,65.0,0.5,23.972281346641555,0.45
2022-01-01 03:00:00,68.83151712278038,0.0,0.0,0.0,0.091,0.46868,11.019554378751488,0.0,0.0,0.0,70.0,0.0,0.0,0.0,1.168482877219617,65.0,0.5,31.5,0.45
2022-01-01 04:00:00,63.54718492450819,0.0,0.0,0.0,0.104,0.46868,10.391654301291414,0.0,0.0,0.0,63.54718492450819,0.0,0.0,0.0,0.0,65.0,0.5,28.596233216028686,0.45
2022-01-01 05:00:00,53.01880809998819,0.0,0.0,0.0,0.1406,0.46868,10.357827921887557,0.0,0.0,0.0,53.01880809998819,0.0,0.0,0.0,0.0,65.0,0.5,23.858463644994686,0.45
2022-01-01 06:00:00,57.64596437734097,0.0,0.0,0.0,0.14709,0.46868,10.065056066064306,0.0,0.0,0.0,67.60260329397532,0.0,0.0,0.0,9.956638916634356,65.0,0.5,30.421171482288894,0.45
2022-01-01 07:00:00,66.37363038409968,0.0,0.0,0.0,0.09999,0.46868,9.17186680206984,0.0,0.0,0.0,66.37363038409968,0.0,0.0,0.0,0.0,65.0,0.5,29.86813367284486,0.45
2022-01-01 08:00:00,75.84613670868595,5.100377595381575,0.0,5.100377595381575,0.06799,0.46868,9.17029412642036,0.0803628724082393,0.7457591133043735,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,31.849522381223494,0.45
2022-01-01 09:00:00,73.64177070398553,7.17585985718922,0.0,7.17585985718922,0.095,0.46868,7.823823302499258,0.1429234197831539,0.0,0.0,66.4659108467963,0.0,0.0,0.0,0.0,65.0,0.5,29.90965988105834,0.45
2022-01-01 10:00:00,55.39626163355096,5.2639910036540805,0.0,5.2639910036540805,0.1358,0.46868,8.58401307587854,0.1945377166535517,0.0,0.0,50.13227062989688,0.0,0.0,0.0,0.0,65.0,0.5,22.559521783453597,0.45
2022-01-01 11:00:00,73.08385563521232,13.280237764370783,0.0,13.280237764370783,0.1507,0.46868,11.514512192260488,0.2235317108634865,0.0,0.0,59.803617870841535,0.0,0.0,0.0,0.0,65.0,0.5,26.911628041878693,0.45
2022-01-01 12:00:00,71.9753389648589,10.772610349577384,0.0,10.772610349577384,0.15572,0.46868,12.611019107116492,0.2564636584542322,0.0,0.0,70.0,0.0,0.0,0.0,8.797271384718478,65.0,0.5,31.5,0.45
2022-01-01 13:00:00,60.271512974456826,9.54681737364892,0.0,9.54681737364892,0.14709,0.46868,13.711224180431875,0.2749022727701458,0.0,0.0,50.724695600807905,0.0,0.0,0.0,0.0,65.0,0.5,22.826113020363557,0.45
2022-01-01 14:00:00,63.209609377776005,7.904671350363124,0.0,7.904671350363124,0.1,0.46868,14.909718840488216,0.2471904057197724,0.0,0.0,55.30493802741288,0.0,0.0,0.0,0.0,65.0,0.5,24.887222112335795,0.45
2022-01-01 15:00:00,47.60572677254431,3.9533323034929158,0.0,3.9533323034929158,0.155,0.46868,13.817491598696884,0.1585869350984052,0.0,0.0,43.652394469051394,0.0,0.0,0.0,0.0,65.0,0.5,19.64357751107313,0.45
2022-01-01 16:00:00,58.1592256525255,0.561317609880916,0.0,0.561317609880916,0.16978000000000001,0.46868,12.391757307012702,0.0271888198649047,0.0,0.0,57.59790804264458,0.0,0.0,0.0,0.0,65.0,0.5,25.919058619190064,0.45
2022-01-01 17:00:00,73.24671050378134,0.0,0.0,0.0,0.2031,0.46868,10.80952760022287,0.0,3.246710503781344,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,33.02166827891224,0.45
2022-01-01 18:00:00,70.94414659119109,0.0,0.0,0.0,0.20583,0.46868,10.313764372217458,0.0,0.9441465911910853,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,31.942502624359438,0.45
2022-01-01 19:00:00,75.46584852785806,0.0,0.0,0.0,0.21466,0.46868,9.490814766558469,0.0,5.465848527858057,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,34.061733888036514,0.45
2022-01-01 20:00:00,67.20681398313174,0.0,0.0,0.0,0.21466,0.46868,9.173272472478285,0.0,0.0,0.0,67.20681398313174,0.0,0.0,0.0,0.0,65.0,0.5,30.24306629240928,0.45
2022-01-01 21:00:00,53.2102335714838,0.0,0.0,0.0,0.203,0.46868,9.129355683791765,0.0,0.0,0.0,63.2102335714838,0.0,0.0,0.0,10.0,65.0,0.5,28.44460510716771,0.45
2022-01-01 22:00:00,69.98258611737555,0.0,0.0,0.0,0.18,0.46868,8.557781522094341,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.01741388262445298,65.0,0.5,31.5,0.45
2022-01-01 23:00:00,71.595864955151,0.0,0.0,0.0,0.16244,0.46868,8.746423755543152,0.0,1.5958649551510007,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,32.24794998718017,0.45
2022-01-02 00:00:00,66.82670309715547,0.0,0.0,0.0,0.15112983,0.46868,8.507375386784815,0.0,0.0,0.0,70.0,0.0,0.0,0.0,3.173296902844527,65.0,0.5,31.5,0.45
2022-01-02 01:00:00,68.15480261156667,0.0,0.0,0.0,0.14285,0.46868,8.539957402751092,0.0,0.0,0.0,68.15480261156667,0.0,0.0,0.0,0.0,65.0,0.5,30.669661175205,0.45
2022-01-02 02:00:00,68.11464936249833,0.0,0.0,0.0,0.1406,0.46868,8.272261750468427,0.0,0.0,0.0,68.11464936249833,0.0,0.0,0.0,0.0,65.0,0.5,30.651592213124246,0.45
2022-01-02 03:00:00,61.01254039068336,0.0,0.0,0.0,0.1,0.46868,8.329737048506916,0.0,0.0,0.0,70.0,0.0,0.0,0.0,8.987459609316637,65.0,0.5,31.5,0.45
2022-01-02 04:00:00,67.78955780355113,0.0,0.0,0.0,0.1406,0.46868,8.217500372636227,0.0,0.0,0.0,70.0,0.0,0.0,0.0,2.2104421964488665,65.0,0.5,31.5,0.45
2022-01-02 05:00:00,57.34773375623124,0.0,0.0,0.0,0.14193,0.46868,8.495367868460228,0.0,0.0,0.0,57.34773375623124,0.0,0.0,0.0,0.0,65.0,0.5,25.80648019030406,0.45
2022-01-02 06:00:00,67.37292176039217,0.0,0.0,0.0,0.14709,0.46868,8.559873996545521,0.0,0.0,0.0,67.37292176039217,0.0,0.0,0.0,0.0,65.0,0.5,30.317814792176478,0.45
2022-01-02 07:00:00,56.240656927548415,0.0,0.0,0.0,0.1537821,0.46868,8.639406456402908,0.0,0.0,0.0,56.240656927548415,0.0,0.0,0.0,0.0,65.0,0.5,25.308295617396787,0.45
2022-01-02 08:00:00,64.0824596992178,0.0,0.0,0.0,0.15259,0.46868,8.648862563032495,0.097313227994505,0.0,0.0,70.0,0.0,0.0,0.0,5.917540300782207,65.0,0.5,31.5,0.45
2022-01-02 09:00:00,60.05542781262308,4.819056451104764,0.0,4.819056451104764,0.15572,0.46868,9.249386761023596,0.0612492053505737,0.0,0.0,55.236371361518316,0.0,0.0,0.0,0.0,65.0,0.5,24.85636711268324,0.45
2022-01-02 10:00:00,57.29463562471695,6.883525672272793,0.0,6.883525672272793,0.16798,0.46868,9.182550630994893,0.1016800671345703,0.0,0.0,50.411109952444164,0.0,0.0,0.0,0.0,65.0,0.5,22.684999478599874,0.45
2022-01-02 11:00:00,70.89715656654585,15.31199967725433,0.0,15.31199967725433,0.17508,0.46868,9.169649491397973,0.1554249491139046,0.0,0.0,55.58515688929152,0.0,0.0,0.0,0.0,65.0,0.5,25.013320600181185,0.45
2022-01-02 12:00:00,67.56857245951633,15.865620146228867,0.0,15.865620146228867,0.18958000000000003,0.46868,10.109061854809193,0.1631388937180409,0.0,0.0,51.70295231328747,0.0,0.0,0.0,0.0,65.0,0.5,23.266328540979362,0.45
2022-01-02 13:00:00,61.35798960121721,13.444384301858396,0.0,13.444384301858396,0.16969,0.46868,10.51189237073225,0.1497137855722042,0.0,0.0,47.91360529935882,0.0,0.0,0.0,0.0,65.0,0.5,21.56112238471147,0.45
2022-01-02 14:00:00,67.9724409767671,12.948422379359613,0.0,12.948422379359613,0.15572,0.46868,11.327581021411753,0.1080404898243129,0.0,0.0,55.02401859740749,0.0,0.0,0.0,0.0,65.0,0.5,24.76080836883337,0.45
2022-01-02 15:00:00,47.136921610058174,4.440401028173472,0.0,4.440401028173472,0.16775,0.46868,11.02607865287052,0.0618986847903546,0.0,0.0,42.6965205818847,0.0,0.0,0.0,0.0,65.0,0.5,19.213434261848114,0.45
2022-01-02 16:00:00,63.95888719312797,1.073244933452068,0.0,1.073244933452068,0.19421000000000002,0.46868,10.487420026381708,0.0162750244743316,0.0,0.0,62.885642259675905,0.0,0.0,0.0,0.0,65.0,0.5,28.298539016854157,0.45
2022-01-02 17:00:00,68.10716914186017,0.0,0.0,0.0,0.245,0.46868,10.47569381731348,0.0,0.0,0.0,68.10716914186017,0.0,0.0,0.0,0.0,65.0,0.5,30.648226113837076,0.45
2022-01-02 18:00:00,73.93833576298005,0.0,0.0,0.0,0.22519,0.46868,10.050505836882822,0.0,3.9383357629800457,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,33.34581920539349,0.45
2022-01-02 19:00:00,74.11199802274126,0.0,0.0,0.0,0.21628999999999998,0.46868,10.087774150531706,0.0,4.111998022741261,0.0,70.0,0.0,0.0,0.0,0.0,65.0,0.5,33.42721123329837,0.45
2022-01-02 20:00:00,58.33345209108758,0.0,0.0,0.0,0.20267367,0.46868,10.444580061195582,0.0,0.0,0.0,58.33345209108758,0.0,0.0,0.0,0.0,65.0,0.5,26.25005344098941,0.45
2022-01-02 21:00:00,62.20728791576462,0.0,0.0,0.0,0.17840999999999999,0.46868,9.830410658382885,0.0,0.0,0.0,70.0,0.0,0.0,0.0,7.792712084235383,65.0,0.5,31.5,0.45
2022-01-02 22:00:00,61.82772401421799,0.0,0.0,0.0,0.15444,0.46868,9.904828768098556,0.0,0.0,0.0,62.501866456148996,0.0,0.0,0.0,0.6741424419310021,65.0,0.5,28.12583990526705,0.45
2022-01-02 23:00:00,65.42226020222529,0.0,0.0,0.0,0.14479,0.46868,10.14559754172771,0.0,0.0,0.0,70.0,0.0,0.0,0.0,4.577739797774711,65.0,0.5,31.5,0.45
2022-01-03 00:00:00,66.76729661716145,0.0,0.0,0.0,0.127,0.46868,9.784577513456767,0.0,0.0,0.0,66.76729661716145,0.0,0.0,0.0,0.0,65.0,0.5,30.045283477722652,0.45
2022-01-03 01:00:00,68.26173363964722,0.0,0.0,0.0,0.127,0.46868,9.259469783440831,0.0,0.0,0.0,68.26173363964722,0.0,0.0,0.0,0.0,65.0,0.5,30.71778013784125,0.45
2022-01-03 02:00:00,58.10050153997157,0.0,0.0,0.0,0.08462,0.46868,9.363252646508528,0.0,0.0,0.0,58.10050153997157,0.0,0.0,0.0,0.0,65.0,0.5,26.145225692987207,0.45
2022-01-03 03:00:00,66.4260535370735,0.0,0.0,0.0,0.08327,0.46868,8.960667738946317,0.0,0.0,0.0,66.4260535370735,0.0,0.0,0.0,0.0,65.0,0.5,29.891724091683077,0.45
