0,1,2
0.0,60.312,66.60647372786357
1.0,59.052,67.16783874151238
2.0,60.732,53.27173632587012
3.0,60.564,68.83151712278038
4.0,60.9,63.54718492450819
5.0,61.068,53.01880809998819
6.0,62.076,57.64596437734097
7.0,65.436,66.37363038409968
8.0,66.696,75.84613670868595
9.0,64.344,73.64177070398553
10.0,62.244,55.396261633550964
11.0,63.672,73.08385563521232
12.0,62.832,71.9753389648589
13.0,60.564,60.271512974456826
14.0,57.204,63.209609377776005
15.0,54.768,47.60572677254431
16.0,59.724,58.1592256525255
17.0,64.932,73.24671050378134
18.0,65.1,70.94414659119109
19.0,66.276,75.46584852785806
20.0,64.092,67.20681398313174
21.0,62.496,53.2102335714838
22.0,63.0,69.98258611737555
23.0,62.916,71.595864955151
0.0,63.252,66.82670309715547
1.0,63.0,68.15480261156667
2.0,63.252,68.11464936249833
3.0,63.168,61.01254039068336
4.0,64.68,67.78955780355113
5.0,63.924,57.347733756231236
6.0,63.252,67.37292176039217
7.0,65.604,56.240656927548415
8.0,68.544,64.0824596992178
9.0,69.132,60.05542781262308
10.0,65.352,57.29463562471695
11.0,64.428,70.89715656654585
12.0,63.672,67.56857245951633
13.0,65.016,61.35798960121721
14.0,58.968,67.9724409767671
15.0,56.448,47.136921610058174
16.0,65.184,63.958887193127964
17.0,70.476,68.10716914186017
18.0,68.628,73.93833576298005
19.0,68.208,74.11199802274126
20.0,64.596,58.33345209108758
21.0,62.412,62.20728791576462
22.0,62.916,61.827724014217985
23.0,62.496,65.42226020222529
0.0,62.58,66.76729661716145
1.0,63.168,68.26173363964722
2.0,62.58,58.10050153997157
3.0,62.832,66.4260535370735
4.0,63.504,66.60596007947682
5.0,68.208,61.46023470389261
6.0,72.576,64.95595363116753
7.0,82.32,82.28728103964285
8.0,81.144,90.33887917032163
9.0,67.704,64.51171453332266
10.0,65.772,67.47735501959555
11.0,68.796,63.272238789822744
12.0,71.82,76.84534118611305
13.0,71.904,67.00590230918537
14.0,70.56,70.67914103330286
15.0,62.16,66.14153445313372
16.0,60.816,68.63406505071598
17.0,74.928,84.11382850410888
18.0,72.66,73.60431059927606
19.0,67.62,60.392488856573586
20.0,62.496,55.481880111181155
21.0,58.968,54.11816508247473
22.0,60.564,67.37834511967326
23.0,61.404,56.48964357943063
0.0,60.312,66.59769652137632
1.0,60.816,55.68649937449979
2.0,60.396,68.98127246374456
3.0,60.732,57.73167531969617
4.0,60.396,54.327905008624164
5.0,66.864,61.885677159520625
6.0,71.484,73.80489352293277
7.0,66.108,65.5737769780546
8.0,67.2,64.23319014125994
9.0,63.0,69.61657255792582
10.0,67.536,69.24128182305449
11.0,70.812,71.80647216582278
12.0,68.46,76.80387327659619
13.0,83.328,79.04478037640747
14.0,85.092,90.23600458221442
15.0,67.116,72.19058188556991
16.0,60.144,57.75291693950713
17.0,65.268,66.62443281450442
18.0,77.616,69.13308579126127
19.0,72.828,63.90700237333215
20.0,63.84,64.45595106017946
21.0,60.06,65.64334460204023
22.0,59.64,68.32021368458366
23.0,60.564,53.1621241694746
0.0,60.396,61.77247321744385
