0,1,2
0.0,2315.824018858007,2899.077341163426
1.0,1243.6202643398506,2091.5645751627617
2.0,1690.3164472698975,1798.855990706713
3.0,1862.2237423580746,1981.634486840393
4.0,2203.117722168911,2469.745118237022
5.0,2594.864629839517,2364.811852111125
6.0,2396.0388993889146,2708.0146398100856
7.0,3591.922804978226,3638.738521556904
8.0,3668.6225998652044,3097.240789845169
9.0,3593.135858652019,4282.934098931573
10.0,5448.364491804038,5206.294242695581
11.0,3879.5852739866996,4148.2828902659485
12.0,5889.751455155034,6025.247101623369
13.0,9261.40158825307,8978.632010346404
14.0,9632.554697572188,9449.122268732006
15.0,10927.194631953285,10740.537815861608
16.0,7074.324964269837,6745.315479189611
17.0,9305.059112935964,8990.992570514205
18.0,6452.165179101624,5891.647855533277
19.0,5181.5139776011365,5359.354796289532
20.0,5992.3045229000245,5606.04001840946
21.0,7123.414807989598,6113.48046198657
22.0,6404.130767564616,6850.11724999596
23.0,7689.012610610172,7602.138990553414
0.0,5391.714938356627,5128.317517368249
1.0,5373.318926662509,4240.7241009006675
2.0,3276.012828559824,4021.9158868276363
3.0,5299.2021131335205,4483.069977425698
4.0,4101.915068996142,3983.913739068247
5.0,4437.612292937697,4841.657717680378
6.0,5425.3153438710615,5885.46757544555
7.0,6429.465475351063,6791.601832168661
8.0,5919.631972904316,6626.049223079704
9.0,8968.062353559106,9166.670319315655
10.0,5571.134290801408,5974.884393696179
11.0,10358.34925589793,9399.811523372697
12.0,10348.589535106124,9633.084222753118
13.0,9646.54715781944,9646.365250169249
14.0,8602.754767455319,8479.475771988953
15.0,9843.200641008742,9570.3609546543
16.0,8909.132656986601,8270.792697624584
17.0,8072.05946426876,7578.469832781861
18.0,4936.468573918308,6545.04810537211
19.0,5194.397981337956,5983.95757084462
20.0,5337.929165443521,5651.274408816799
21.0,5526.212838800114,4992.745841461946
22.0,7111.311499245857,6485.34922965738
23.0,6806.060696296727,7253.807885334601
0.0,5362.122982776441,5163.295272743549
1.0,3959.356773418885,4135.922330098146
2.0,4216.417465596745,3999.298691620138
3.0,4563.930984594882,3827.6972977706578
4.0,4186.82477064981,4445.199324989689
5.0,7450.207017945145,6226.566438012579
6.0,4980.598561722861,5294.65909837833
7.0,6174.144387216801,6457.735212257239
8.0,7413.760594246052,6959.915842994951
9.0,8046.705551028945,8372.570076046843
10.0,7407.918271815457,8063.293081155302
11.0,8604.483337553194,8925.244910035124
12.0,10596.78135113338,9891.998509717469
13.0,7682.319693044656,7746.915338931531
14.0,9266.96646118643,9408.095728592358
15.0,8661.461314036293,8304.718490432002
16.0,6720.640381783961,7123.364526948149
17.0,9751.162595058091,8847.136689384415
18.0,5730.026641015442,6236.823073044621
19.0,6929.513803226555,6123.737097022439
20.0,7289.5182853992865,6466.9398847214015
21.0,4624.206240483337,6059.041399111239
22.0,6985.370914555124,7347.301058537202
23.0,5748.894413068622,5689.276556576188
0.0,5691.880249170693,4828.376690264246
1.0,4421.980553147317,4187.205505269839
2.0,3929.354969478382,3846.238138026186
3.0,2997.6402518472178,3644.9188016369776
4.0,5286.626222471591,5140.678077539877
5.0,5462.557151886354,5028.644064081749
6.0,6618.723632258901,5560.80562799829
7.0,5909.64400245224,6234.719147912689
8.0,5687.791673756325,6028.27149400363
9.0,9367.167549431475,8982.708365294546
10.0,7250.901142431219,7663.810296084353
11.0,10054.220404405762,9685.419360492688
12.0,10418.954211995759,10351.180170506977
13.0,8763.091537377195,9351.552740581266
14.0,8728.054565785387,8811.238466764615
15.0,8898.242873930185,8660.150342983046
16.0,7129.031712996043,7579.521795349742
17.0,8523.710697341909,8554.296609612646
18.0,6082.677123174247,7044.335839049113
19.0,6471.034460037593,6626.049223079704
20.0,5977.4929474824075,6791.601832168661
21.0,7059.361194782509,6619.868942995803
22.0,6591.083071806441,6714.545574089658
23.0,7968.597864800526,7196.212934755634
0.0,4469.351770235935,4996.8221964100885
1.0,5793.966742709179,4783.142299853078
2.0,3638.815762936473,3851.497950865584
3.0,3170.9068202974227,3619.145718729668
4.0,4783.82637278382,5233.119288170768
5.0,4167.6715062647245,4589.975673367808
6.0,4157.426931802568,4241.776063468546
7.0,6729.227582049063,6802.778934449032
8.0,2833.277736289431,4180.104757937609
9.0,5676.396870323594,5962.523833528379
10.0,3505.241073446473,3723.9474895321882
11.0,4041.4777919961252,2998.7507944537524
12.0,2463.27842342233,2019.6366345959543
13.0,1747.5973842832361,2253.961296544253
